Rk,Player,Yds,Tgt,Day,G#,Week,Date,Age,Team,,Opp,Result,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,Pos.
58,Jahan Dotson,40,7,Sun,1,1,9/10/23,23-172,WAS,,ARI,W 20-16,7,5,40,8,0,71.4,5.7,3,71.4,WR
59,Demario Douglas,40,7,Sun,1,1,9/10/23,22-276,NWE,,PHI,L 20-25,7,4,40,10,0,57.1,5.7,2,42.9,WR
60,Ja'Marr Chase,39,9,Sun,1,1,9/10/23,23-193,CIN,@,CLE,L 3-24,9,5,39,7.8,0,55.6,4.3,3,55.6,WR
61,Kylen Granson,39,6,Sun,1,1,9/10/23,25-167,IND,,JAX,L 21-31,6,4,39,9.8,0,66.7,6.5,4,66.7,TE
62,Sam LaPorta,39,5,Thu,1,1,9/7/23,22-238,DET,@,KAN,W 21-20,5,5,39,7.8,0,100,7.8,2,80,TE
63,Calvin Austin,37,6,Sun,1,1,9/10/23,24-170,PIT,,SFO,L 7-30,6,6,37,6.2,0,100,6.2,1,50,WR
64,Odell Beckham Jr.,37,3,Sun,1,1,9/10/23,30-309,BAL,,HOU,W 25-9,3,2,37,18.5,0,66.7,12.3,2,66.7,WR
65,Amari Cooper,37,7,Sun,1,1,9/10/23,29-085,CLE,,CIN,W 24-3,7,3,37,12.3,0,42.9,5.3,2,28.6,WR
66,Khalil Herbert,37,5,Sun,1,1,9/10/23,25-142,CHI,,GNB,L 20-38,5,3,37,12.3,0,60,7.4,3,60,RB
67,Samaje Perine,37,4,Sun,1,1,9/10/23,27-359,DEN,,LVR,L 16-17,4,4,37,9.3,0,100,9.3,2,75,RB
68,Mike Gesicki,36,3,Sun,1,1,9/10/23,27-342,NWE,,PHI,L 20-25,3,3,36,12,0,100,12,3,100,TE
69,Juwan Johnson,36,5,Sun,1,1,9/10/23,26-362,NOR,,TEN,W 16-15,5,3,36,12,0,60,7.2,1,20,TE
70,George Pickens,36,7,Sun,1,1,9/10/23,22-190,PIT,,SFO,L 7-30,7,5,36,7.2,0,71.4,5.1,1,57.1,WR
71,Darren Waller,36,5,Sun,1,1,9/10/23,30-362,NYG,,DAL,L 0-40,5,3,36,12,0,60,7.2,2,60,TE
72,Rashod Bateman,35,3,Sun,1,1,9/10/23,23-285,BAL,,HOU,W 25-9,3,3,35,11.7,0,100,11.7,1,66.7,WR
73,T.J. Hockenson,35,9,Sun,1,1,9/10/23,26-069,MIN,,TAM,L 17-20,9,8,35,4.4,0,88.9,3.9,3,44.4,TE
74,Roschon Johnson,35,7,Sun,1,1,9/10/23,22-222,CHI,,GNB,L 20-38,7,6,35,5.8,0,85.7,5,1,28.6,RB
75,Tank Dell,34,4,Sun,1,1,9/10/23,23-316,HOU,@,BAL,L 9-25,4,3,34,11.3,0,75,8.5,3,75,WR
76,Alec Ingold,34,2,Sun,1,1,9/10/23,27-063,MIA,@,LAC,W 36-34,2,2,34,17,0,100,17,2,100,FB
77,Adam Trautman,34,5,Sun,1,1,9/10/23,26-217,DEN,,LVR,L 16-17,5,5,34,6.8,0,100,6.8,1,60,TE
78,Garrett Wilson,34,5,Mon,1,1,9/11/23,23-051,NYJ,,BUF,W 22-16 (OT),5,5,34,6.8,1,100,6.8,3,60,WR
79,Rondale Moore,33,3,Sun,1,1,9/10/23,23-093,ARI,@,WAS,L 16-20,3,3,33,11,0,100,11,1,33.3,WR
80,JuJu Smith-Schuster,33,7,Sun,1,1,9/10/23,26-292,NWE,,PHI,L 20-25,7,4,33,8.3,0,57.1,4.7,1,57.1,WR
81,Gabriel Davis,32,4,Mon,1,1,9/11/23,24-163,BUF,@,NYJ,L 16-22 (OT),4,2,32,16,0,50,8,2,50,WR
82,Josh Oliver,32,3,Sun,1,1,9/10/23,26-173,MIN,,TAM,L 17-20,3,3,32,10.7,0,100,10.7,2,66.7,TE
83,Courtland Sutton,32,5,Sun,1,1,9/10/23,27-335,DEN,,LVR,L 16-17,5,4,32,8,1,80,6.4,2,60,WR
84,Noah Gray,31,5,Thu,1,1,9/7/23,24-130,KAN,,DET,L 20-21,5,3,31,10.3,0,60,6.2,1,40,TE
85,Mack Hollins,31,4,Sun,1,1,9/10/23,29-359,ATL,,CAR,W 24-10,4,3,31,10.3,0,75,7.8,1,25,WR
86,Brandon Johnson,31,3,Sun,1,1,9/10/23,25-046,DEN,,LVR,L 16-17,3,2,31,15.5,0,66.7,10.3,1,66.7,WR
87,Terry McLaurin,31,4,Sun,1,1,9/10/23,27-360,WAS,,ARI,W 20-16,4,2,31,15.5,0,50,7.8,2,50,WR
88,K.J. Osborn,31,6,Sun,1,1,9/10/23,26-092,MIN,,TAM,L 17-20,6,3,31,10.3,0,50,5.2,1,16.7,WR
89,Isiah Pacheco,31,4,Thu,1,1,9/7/23,24-189,KAN,,DET,L 20-21,4,4,31,7.8,0,100,7.8,1,100,RB
90,Josh Downs,30,7,Sun,1,1,9/10/23,22-029,IND,,JAX,L 21-31,7,3,30,10,0,42.9,4.3,1,28.6,WR
91,Rashee Rice,29,5,Thu,1,1,9/7/23,23-138,KAN,,DET,L 20-21,5,3,29,9.7,1,60,5.8,2,40,WR
92,Marquise Brown,28,5,Sun,1,1,9/10/23,26-098,ARI,@,WAS,L 16-20,5,3,28,9.3,0,60,5.6,3,60,WR
93,Travis Etienne,27,5,Sun,1,1,9/10/23,24-227,JAX,@,IND,W 31-21,5,5,27,5.4,0,100,5.4,0,40,RB
94,Bijan Robinson,27,6,Sun,1,1,9/10/23,21-223,ATL,,CAR,W 24-10,6,6,27,4.5,1,100,4.5,2,33.3,RB
95,Dalvin Cook,26,3,Mon,1,1,9/11/23,28-032,NYJ,,BUF,W 22-16 (OT),3,3,26,8.7,0,100,8.7,1,66.7,RB
96,Romeo Doubs,26,5,Sun,1,1,9/10/23,23-150,GNB,@,CHI,W 38-20,5,4,26,6.5,2,80,5.2,3,60,WR
97,Dalton Kincaid,26,4,Mon,1,1,9/11/23,23-328,BUF,@,NYJ,L 16-22 (OT),4,4,26,6.5,0,100,6.5,,100,TE
98,Miles Sanders,26,6,Sun,1,1,9/10/23,26-132,CAR,@,ATL,L 10-24,6,4,26,6.5,0,66.7,4.3,1,50,RB
99,Dawson Knox,25,4,Mon,1,1,9/11/23,26-301,BUF,@,NYJ,L 16-22 (OT),4,3,25,8.3,0,75,6.3,1,50,TE
100,D.J. Moore,25,2,Sun,1,1,9/10/23,26-149,CHI,,GNB,L 20-38,2,2,25,12.5,0,100,12.5,2,100,WR
101,Isaiah Hodgins,24,3,Sun,1,1,9/10/23,24-324,NYG,,DAL,L 0-40,3,1,24,24,0,33.3,8,,33.3,WR
102,Van Jefferson,24,5,Sun,1,1,9/10/23,27-046,LAR,@,SEA,W 30-13,5,4,24,6,0,80,4.8,1,20,WR
103,David Njoku,24,3,Sun,1,1,9/10/23,27-062,CLE,,CIN,W 24-3,3,2,24,12,0,66.7,8,1,66.7,TE
104,Josh Jacobs,23,3,Sun,1,1,9/10/23,25-211,LVR,@,DEN,W 17-16,3,2,23,11.5,0,66.7,7.7,1,66.7,RB
105,Terrace Marshall Jr.,23,6,Sun,1,1,9/10/23,23-093,CAR,@,ATL,L 10-24,6,2,23,11.5,0,33.3,3.8,2,33.3,WR
106,Trey McBride,23,2,Sun,1,1,9/10/23,23-292,ARI,@,WAS,L 16-20,2,2,23,11.5,0,100,11.5,2,100,TE
107,Brandin Cooks,22,4,Sun,1,1,9/10/23,29-350,DAL,@,NYG,W 40-0,4,2,22,11,0,50,5.5,2,50,WR
108,Greg Dulcich,22,2,Sun,1,1,9/10/23,23-168,DEN,,LVR,L 16-17,2,2,22,11,0,100,11,2,100,TE
109,Donald Parham,22,3,Sun,1,1,9/10/23,26-025,LAC,,MIA,L 34-36,3,3,22,7.3,1,100,7.3,2,100,TE
110,Nick Chubb,21,4,Sun,1,1,9/10/23,27-257,CLE,,CIN,W 24-3,4,4,21,5.3,0,100,5.3,1,50,RB
111,Zach Ertz,21,10,Sun,1,1,9/10/23,32-304,ARI,@,WAS,L 16-20,10,6,21,3.5,0,60,2.1,1,30,TE
112,Gerald Everett,21,3,Sun,1,1,9/10/23,29-077,LAC,,MIA,L 34-36,3,2,21,10.5,0,66.7,7,2,66.7,TE
113,Brycen Hopkins,21,2,Sun,1,1,9/10/23,26-167,LAR,@,SEA,W 30-13,2,1,21,21,0,50,10.5,1,50,TE
114,Noah Brown,20,4,Sun,1,1,9/10/23,27-247,HOU,@,BAL,L 9-25,4,3,20,6.7,0,75,5,,50,WR
115,Kenneth Gainwell,20,4,Sun,1,1,9/10/23,24-180,PHI,@,NWE,W 25-20,4,4,20,5,0,100,5,0,50,RB
116,Breece Hall,20,2,Mon,1,1,9/11/23,22-103,NYJ,,BUF,W 22-16 (OT),2,1,20,20,0,50,10,1,50,RB
117,Austin Hooper,20,1,Sun,1,1,9/10/23,28-316,LVR,@,DEN,W 17-16,1,1,20,20,0,100,20,1,100,TE
